Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Addtokartfish,Edge Chromium 124,,,19-05-2024 08:04:30,19-05-2024 08:05:45,1m - 14.848s,PASSED
,,,,,,,
Test Cases/AddtokartFish,Edge Chromium 124,,,19-05-2024 08:04:30,19-05-2024 08:05:45,1m - 14.685s,PASSED
"openBrowser("""")",Edge Chromium 124,,,19-05-2024 08:04:30,19-05-2024 08:04:34,4.336s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,19-05-2024 08:04:34,19-05-2024 08:04:36,1.652s,PASSED
"click(findTestObject(""Object Repository/fishobject/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,19-05-2024 08:04:36,19-05-2024 08:04:38,1.942s,PASSED
"click(findTestObject(""Object Repository/fishobject/Page_JPetStore Demo/img""))",Edge Chromium 124,,,19-05-2024 08:04:38,19-05-2024 08:04:39,0.778s,PASSED
"click(findTestObject(""Object Repository/fishobject/Page_JPetStore Demo/a_FI-SW-01""))",Edge Chromium 124,,,19-05-2024 08:04:39,19-05-2024 08:04:40,0.812s,PASSED
"click(findTestObject(""Object Repository/fishobject/Page_JPetStore Demo/td_Add to Cart""))",Edge Chromium 124,,,19-05-2024 08:04:40,19-05-2024 08:04:40,0.757s,PASSED
"click(findTestObject(""Object Repository/fishobject/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,19-05-2024 08:04:40,19-05-2024 08:05:12,31.945s,PASSED
"click(findTestObject(""Object Repository/fishobject/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 124,,,19-05-2024 08:05:12,19-05-2024 08:05:44,31.866s,PASSED
closeBrowser(),Edge Chromium 124,,,19-05-2024 08:05:44,19-05-2024 08:05:45,0.339s,PASSED
