Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Addtokartreptile,Edge Chromium 124,,,19-05-2024 08:29:47,19-05-2024 08:30:01,13.695s,PASSED
,,,,,,,
Test Cases/Addtokartreptile,Edge Chromium 124,,,19-05-2024 08:29:47,19-05-2024 08:30:01,13.435s,PASSED
"openBrowser("""")",Edge Chromium 124,,,19-05-2024 08:29:48,19-05-2024 08:29:52,4.513s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 124,,,19-05-2024 08:29:52,19-05-2024 08:29:53,1.273s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 124,,,19-05-2024 08:29:53,19-05-2024 08:29:55,2.005s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img""))",Edge Chromium 124,,,19-05-2024 08:29:55,19-05-2024 08:29:56,0.784s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_RP-SN-01""))",Edge Chromium 124,,,19-05-2024 08:29:56,19-05-2024 08:29:57,0.803s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_EST-11""))",Edge Chromium 124,,,19-05-2024 08:29:57,19-05-2024 08:29:58,1.177s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 124,,,19-05-2024 08:29:58,19-05-2024 08:29:59,0.812s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 124,,,19-05-2024 08:29:59,19-05-2024 08:30:00,0.687s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 124,,,19-05-2024 08:30:00,19-05-2024 08:30:00,0.729s,PASSED
closeBrowser(),Edge Chromium 124,,,19-05-2024 08:30:00,19-05-2024 08:30:01,0.338s,PASSED
